Characteristic,Value
"N linked, genotyped (schizophrenia)",490
N analysis sample (grandiosity observable),489
"Male, n (%)",223 (45.6)
"Female, n (%)",266 (54.4)
"Age at assessment, years, mean (SD)",31.6 (11.4)
"Age at onset, years, mean (SD)",23.1 (6.4)
"Grandiosity (0 to 4 sum), mean (SD)",0.73 (1.33)
"Any grandiosity (score > 0), n (%)",133 (27.2)
"Manic-cluster dimension, mean (SD)",0.21 (0.30)
"Depressive dimension, mean (SD)",1.18 (0.86)
"Negative dimension, mean (SD)",1.00 (0.64)
"Other-delusions dimension, mean (SD)",0.52 (0.25)
"Hallucinations dimension, mean (SD)",0.40 (0.28)
